TransactionAmount,PreviousTransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionDate,Target
-0.9700134852463578,680,1,36,0,1.4232442569772816,0,-0.5508954520914071,-0.2055249897597381,-0.0013592185829133432,105,1
0.2684424679108054,1178,1,15,0,1.3109792569321501,0,0.30661424307900564,-0.2055249897597381,2.217583323413002,192,2
-0.5863195519473553,1262,1,23,2,-1.4395132441735734,3,-0.9081911584124124,-0.2055249897597381,-1.0252492680362104,41,2
-0.3872569507233364,818,1,33,2,-1.046585744015613,3,-1.351237834250459,-0.2055249897597381,0.8857481780306593,163,1
-0.7030692033094582,635,1,28,0,-1.495645744196139,3,0.7496609189170523,-0.2055249897597381,-1.1126730430927925,13,1
-0.9939858067474807,306,0,39,0,-0.42912824376738945,0,0.27803058657332524,-0.2055249897597381,2.104104609907203,226,1
-0.43198704562129503,837,0,16,1,1.254846756909584,2,2.450388481005038,-0.2055249897597381,-0.5956905078593171,271,2
-0.6549193763856618,557,0,11,1,0.35672675654853153,1,-0.47943631082720606,-0.2055249897597381,1.0207524331214117,290,1
1.7721670343122078,610,1,26,0,0.5812567566387946,0,0.006485849769361218,-0.2055249897597381,-1.0510321860505196,9,1
-0.9573946740710162,516,0,0,2,0.4128592565710973,1,-0.8653156736538918,-0.2055249897597381,0.6369418643888402,22,1
-0.3683800299407117,234,1,22,2,-1.327248244128442,3,0.7639527471698925,-0.2055249897597381,-0.9209422624017302,49,1
0.6729283719269016,1037,0,23,1,-1.1588507440607445,3,-0.12214060450620069,-0.2055249897597381,-0.8975356738470852,135,2
1.6552121990285542,2173,1,22,0,-1.046585744015613,3,0.049361334527881856,-0.2055249897597381,-1.2645913235276591,43,0
-0.44713645849575645,283,1,21,2,-1.495645744196139,3,0.20657144530912422,-0.2055249897597381,-1.2363011982972671,226,1
0.5735167619357964,2354,1,10,0,-0.4852607437899552,1,0.13511230404492314,-0.2055249897597381,-0.42393269928982047,355,0
0.8824895504702425,2031,0,2,1,-1.4395132441735734,3,0.5495753233772893,-0.2055249897597381,-1.0229627566446755,72,0
0.6674909980058195,2367,1,8,2,-0.3168632437222578,1,1.6357542705931456,-0.2055249897597381,-0.0019340542189444725,327,0
-0.9543169152477622,353,0,0,1,0.8057867567290578,2,-0.19359974577040176,-0.2055249897597381,0.7264648160091431,337,1
-0.7737550642835256,1050,0,8,2,-1.495645744196139,3,0.7067854341585316,-0.2055249897597381,0.37238146159704105,177,2
-0.8153390057177136,413,1,20,1,1.4793767569998473,2,-1.1654440669635362,-0.2055249897597381,0.16254079214047842,181,1
-0.7248870936343036,1479,1,19,1,-0.37299574374482364,0,-0.37939351305732455,-0.2055249897597381,1.0338530399157835,110,2
-0.8396874977416787,1029,1,1,2,-0.3168632437222578,1,0.006485849769361218,-0.2055249897597381,0.9899037760645779,38,2
0.16448261432533587,802,1,13,2,-1.271115744105876,3,0.32090607133184584,3.146009973969325,-0.9533563200745421,41,1
-0.5204897104499776,436,1,33,2,-1.327248244128442,3,-0.3365180282988039,-0.2055249897597381,-0.8177413021205063,46,1
-0.9925837166168873,1979,0,15,2,1.1425817568644525,2,2.2360110572124348,-0.2055249897597381,-0.38053004253894795,201,0
-0.17376308035028187,707,1,24,0,-1.2149832440833104,3,0.5495753233772893,6.497544937698386,-1.140473018294247,314,1
-0.880313914208632,601,1,25,1,-0.42912824376738945,1,-0.35080985655164415,-0.2055249897597381,-0.6238471891027731,335,1
-0.5823526627973835,160,1,19,2,-0.036200743609428924,0,1.1069566252380576,-0.2055249897597381,-0.8585187050514685,298,1
-0.8261111615991026,1753,1,11,1,-0.9904532439930472,3,2.336053854982316,-0.2055249897597381,-0.9663953373364818,127,0
-0.921384895838944,1296,0,24,2,0.8057867567290578,0,-1.42269697551466,-0.2055249897597381,0.8255469763089825,174,2
-0.816022952122881,224,1,3,0,-0.8781882439479157,0,1.9644663204084705,-0.2055249897597381,1.207702326357447,35,1
0.3375552521529875,1783,1,27,0,0.24446175650339996,1,0.6924936059056914,3.146009973969325,1.1734457151727136,289,0
1.9836774601102758,505,1,20,2,-1.271115744105876,3,0.4352406973545676,-0.2055249897597381,-1.2108775525554774,87,1
-0.14527671257505298,2019,0,37,1,0.019931756413136853,0,-0.9939421279294537,-0.2055249897597381,2.4888236242431456,267,0
-0.5915517419468872,1924,1,39,1,0.24446175650339996,1,-1.0654012691936545,-0.2055249897597381,0.16608988894686738,0,0
-0.7510138463117043,2190,1,25,1,-1.046585744015613,3,0.3637815560903665,-0.2055249897597381,-1.082152863542262,354,0
1.7015495679786565,1904,1,23,0,1.1987142568870182,0,-0.4222689978158452,1.4702424921047934,0.7178705100043734,293,0
0.12956715034153188,161,1,28,2,0.5812567566387946,2,1.378501362042022,-0.2055249897597381,-1.051671177449501,69,1
0.10508186903653327,1393,1,35,0,1.030316756819321,2,-0.007805978483478996,-0.2055249897597381,-0.20371932607951662,68,2
